WERK,WERK_JAHR,URHEBER,SPRACHE,GESCHLECHT,AUSSTELLUNGEN,EVENTS,PERFORMANCES,LITERATUR,RATING,PLZ
13261475,1914,4028892,1,1,13,0,0,17,4,3110
13261475,1914,4028892,1,1,13,0,0,17,4,78000
6001290,1897,4022646,1,1,1,0,0,3,2,4663
6001290,1897,4022646,1,1,1,0,0,3,2,5736
6001510,1977,4027036,3,1,1,0,0,1,0,6850
6001423,1870,4000016,1,1,6,0,0,15,3,6000
6003729,1935,4023636,1,1,20,0,0,31,4,5000
6003729,1935,4023636,1,1,20,0,0,31,4,6900
6003729,1935,4023636,1,1,20,0,0,31,4,9434
6003812,1920,4023636,1,1,20,0,0,31,4,5000
6003812,1920,4023636,1,1,20,0,0,31,4,6900
6003812,1920,4023636,1,1,20,0,0,31,4,9434
6004166,1945,4000020,2,1,71,0,0,109,4,1200
6004168,1943,4000020,2,1,71,0,0,109,4,1200
6004169,1924,4000020,2,1,71,0,0,109,4,1200
6004269,0,4000020,2,1,71,0,0,109,4,1200
6003737,1930,4023636,1,1,20,0,0,31,4,5000
6003737,1930,4023636,1,1,20,0,0,31,4,6900
6003737,1930,4023636,1,1,20,0,0,31,4,9434
6003987,1952,4001125,1,1,62,0,0,53,3,9000
6003987,1952,4001125,1,1,62,0,0,53,3,9050
6003987,1952,4001125,1,1,62,0,0,53,3,2942
6003987,1952,4001125,1,1,62,0,0,53,3,6144
6003987,1952,4001125,1,1,62,0,0,53,3,8487
6003756,1925,4023636,1,1,20,0,0,31,4,5000
6003756,1925,4023636,1,1,20,0,0,31,4,6900
6003756,1925,4023636,1,1,20,0,0,31,4,9434
6004111,0,4000020,2,1,71,0,0,109,4,1200
6004037,1921,4000020,2,1,71,0,0,109,4,1200
6004076,1907,4000020,2,1,71,0,0,109,4,1200
6004053,0,4000020,2,1,71,0,0,109,4,1200
6004055,0,4000020,2,1,71,0,0,109,4,1200
6004063,1928,4000020,2,1,71,0,0,109,4,1200
6004343,1925,4000020,2,1,71,0,0,109,4,1200
6004336,0,4000020,2,1,71,0,0,109,4,1200
6004576,1937,4000029,1,1,42,0,0,64,4,8534
6004576,1937,4000029,1,1,42,0,0,64,4,5608
6004310,1924,4000020,2,1,71,0,0,109,4,1200
6004311,0,4000020,2,1,71,0,0,109,4,1200
6004323,1907,4000020,2,1,71,0,0,109,4,1200
6004325,1910,4000020,2,1,71,0,0,109,4,1200
6005220,1991,4001918,1,1,28,0,0,24,3,6000
11436146,1979,4000614,1,2,48,0,0,27,3,8000
6004220,1943,4000020,2,1,71,0,0,109,4,1200
6004546,1913,4000029,1,1,42,0,0,64,4,8534
6004546,1913,4000029,1,1,42,0,0,64,4,5608
11556485,1912,4000064,1,1,37,0,0,58,3,4000
6004702,1917,4000030,2,1,62,0,0,94,4,2500
6004702,1917,4000030,2,1,62,0,0,94,4,1288
11529574,1983,4003260,2,1,26,0,0,53,3,1430
11529574,1983,4003260,2,1,26,0,0,53,3,1110
6004317,1907,4000020,2,1,71,0,0,109,4,1200
6004654,1925,4000030,2,1,62,0,0,94,4,2500
6004654,1925,4000030,2,1,62,0,0,94,4,1288
6005816,1927,4001031,1,1,52,0,0,62,3,9500
6005816,1927,4001031,1,1,52,0,0,62,3,4347
6005816,1927,4001031,1,1,52,0,0,62,3,8610
6005816,1927,4001031,1,1,52,0,0,62,3,8800
13053878,1970,4000188,1,2,146,0,0,277,4,4800
13053878,1970,4000188,1,2,146,0,0,277,4,14600
6004570,1918,4000029,1,1,42,0,0,64,4,8534
6004570,1918,4000029,1,1,42,0,0,64,4,5608
6004572,1925,4000029,1,1,42,0,0,64,4,8534
6004572,1925,4000029,1,1,42,0,0,64,4,5608
13843755,1975,4002368,1,2,68,0,0,88,4,6330
13843755,1975,4002368,1,2,68,0,0,88,4,9434
13843755,1975,4002368,1,2,68,0,0,88,4,5644
6007443,1943,4000040,1,1,52,1,0,80,5,1000
6007443,1943,4000040,1,1,52,1,0,80,5,8267
11518594,2000,4003260,2,1,26,0,0,53,3,1430
11518594,2000,4003260,2,1,26,0,0,53,3,1110
6006518,1926,4000040,1,1,52,1,0,80,5,1000
6006518,1926,4000040,1,1,52,1,0,80,5,8267
11543122,1910,4000064,1,1,37,0,0,58,3,4000
6006804,1921,4000050,2,1,64,0,0,82,3,1071
6006804,1921,4000050,2,1,64,0,0,82,3,8000
13841585,1940,4022823,2,1,40,0,0,75,4,1000
13841585,1940,4022823,2,1,40,0,0,75,4,1180
13841585,1940,4022823,2,1,40,0,0,75,4,9434
13865386,1881,4022823,2,1,40,0,0,75,4,1000
13865386,1881,4022823,2,1,40,0,0,75,4,1180
13865386,1881,4022823,2,1,40,0,0,75,4,9434
6007645,1927,4000040,1,1,52,1,0,80,5,1000
6007645,1927,4000040,1,1,52,1,0,80,5,8267
12734553,1955,4000188,1,2,146,0,0,277,4,4800
12734553,1955,4000188,1,2,146,0,0,277,4,14600
6008497,0,4022822,2,1,43,0,0,95,4,1200
12410979,2007,4001952,1,1,98,0,0,77,3,4854
6008858,1942,4000040,1,1,52,1,0,80,5,1000
6008858,1942,4000040,1,1,52,1,0,80,5,8267
13723924,2012,4004627,1,1,127,0,0,112,4,8000
13892894,1927,4000040,1,1,52,1,0,80,5,1000
13892894,1927,4000040,1,1,52,1,0,80,5,8267
13767027,1863,4028739,2,1,2,0,0,7,2,1200
6012072,1925,4000071,1,1,74,0,0,83,4,6654
6012072,1925,4000071,1,1,74,0,0,83,4,3000
13031073,1993,4000188,1,2,146,0,0,277,4,4800
13031073,1993,4000188,1,2,146,0,0,277,4,14600
6010836,1958,4005574,1,1,125,0,0,126,5,8636
6010836,1958,4005574,1,1,125,0,0,126,5,1227
6010836,1958,4005574,1,1,125,0,0,126,5,9044
13739465,0,4022905,2,1,12,0,0,28,5,75015
13739465,0,4022905,2,1,12,0,0,28,5,2400
13739465,0,4022905,2,1,12,0,0,28,5,75000
6012513,1936,4000030,2,1,62,0,0,94,4,2500
6012513,1936,4000030,2,1,62,0,0,94,4,1288
6012509,1905,4000030,2,1,62,0,0,94,4,2500
6012509,1905,4000030,2,1,62,0,0,94,4,1288
6012120,1943,4000314,1,1,53,0,0,64,4,3000
6012129,1945,4000314,1,1,53,0,0,64,4,3000
6012495,0,4000030,2,1,62,0,0,94,4,2500
6012495,0,4000030,2,1,62,0,0,94,4,1288
6013390,1914,4022828,1,1,103,0,0,164,4,3800
6013390,1914,4022828,1,1,103,0,0,164,4,3400
6013390,1914,4022828,1,1,103,0,0,164,4,8458
6013390,1914,4022828,1,1,103,0,0,164,4,5736
13740847,1849,4022825,1,1,150,0,0,274,5,4000
6012613,1909,4000030,2,1,62,0,0,94,4,2500
6012613,1909,4000030,2,1,62,0,0,94,4,1288
6013059,1953,4023384,2,1,33,0,0,50,4,1000
6013059,1953,4023384,2,1,33,0,0,50,4,9434
6013280,1869,4022827,1,1,65,0,0,107,4,6440
6013280,1869,4022827,1,1,65,0,0,107,4,4532
6012151,1958,4000314,1,1,53,0,0,64,4,3000
6013125,1870,4022827,1,1,65,0,0,107,4,6440
6013125,1870,4022827,1,1,65,0,0,107,4,4532
6013412,1904,4022828,1,1,103,0,0,164,4,3800
6013412,1904,4022828,1,1,103,0,0,164,4,3400
6013412,1904,4022828,1,1,103,0,0,164,4,8458
6013412,1904,4022828,1,1,103,0,0,164,4,5736
6012776,0,4000030,2,1,62,0,0,94,4,2500
6012776,0,4000030,2,1,62,0,0,94,4,1288
6013355,1911,4022828,1,1,103,0,0,164,4,3800
6013355,1911,4022828,1,1,103,0,0,164,4,3400
6013355,1911,4022828,1,1,103,0,0,164,4,8458
6013355,1911,4022828,1,1,103,0,0,164,4,5736
6013359,1910,4022828,1,1,103,0,0,164,4,3800
6013359,1910,4022828,1,1,103,0,0,164,4,3400
6013359,1910,4022828,1,1,103,0,0,164,4,8458
6013359,1910,4022828,1,1,103,0,0,164,4,5736
6013409,1914,4022828,1,1,103,0,0,164,4,3800
6013409,1914,4022828,1,1,103,0,0,164,4,3400
6013409,1914,4022828,1,1,103,0,0,164,4,8458
6013409,1914,4022828,1,1,103,0,0,164,4,5736
6012483,1937,4000030,2,1,62,0,0,94,4,2500
6012483,1937,4000030,2,1,62,0,0,94,4,1288
